"event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name","venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total"
"MEMBERS ONLY","event","rZ7HnEZ1AaOyf4","2019-11-02","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvE","Jazz","KZazBEonSMnZfZ7vkda","Jazz","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"Scenic Byway","event","rZ7HnEZ1AaOz_A","2019-10-13","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAee","R&B","KZazBEonSMnZfZ7vknI","Southern Soul","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"Ken Derouchie Band","event","rZ7HnEZ1AaOz3A","2019-11-30","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv6","Country","KZazBEonSMnZfZ7vAF1","Alternative Country","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"Erotic City w/ DJ BlackJack - Prince Tribute/Costume Contest Halloween Bash","event","rZ7HnEZ1AaP-Pg","2019-10-31","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvF","Dance/Electronic","KZazBEonSMnZfZ7vAEA","Electro-Jazz","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"TWERK DU SOLEIL","event","rZ7HnEZ1AaP8vg","2019-12-20","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7na","Arts & Theatre","KnvZfZ7v7nI","Dance","KZazBEonSMnZfZ7v7nl","Dance","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"Unlearn the World","event","rZ7HnEZ1AaP9q4","2019-11-10","onsale","n/a","Wonder Ballroom","KovZpa9hBe","97212","45.540645","-122.663384","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvl","Other","KZazBEonSMnZfZ7vk1I","Other","Wonder Ballroom","venue","KovZpa9hBe","97212","-122.663384","45.540645","65"
"Jarrod Lawson, Chance Hayden & Tyrone Hendrix","event","rZ7HnEZ1AaPAvg","2019-11-07","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAvJ","Alternative","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"HIVE:: Goth: Industrial:: Darkwave:: Dance Party","event","rZ7HnEZ1AaPbfA","2019-10-06","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAvn","Alternative Rock","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"MADWAGON","event","rZ7HnEZ1AaPd4P","2019-11-12","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAvn","Alternative Rock","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"NIGHT CLUB with Xibling and Die Robot followed by HIVE Dance Party","event","rZ7HnEZ1AapeGP","2019-10-06","onsale","n/a","Star Theater","KovZpZAIvlnA","97209","45.523366","-122.676653","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAee","R&B","KZazBEonSMnZfZ7vkta","Deep Soul","Star Theater","venue","KovZpZAIvlnA","97209","-122.676653","45.523366","55"
"SCOTT McKINNEY Benefit featuring:  CROOKED LOOKS, STAR SUIT SCOTTY, THE URBAN SHAMAN and PELVIK TORC","event","rZ7HnEZ1AaPv1A","2019-10-16","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6an","Rock & Roll","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
"Soul Thankful","event","rZ7HnEZ1AaPvjA","2019-11-29","onsale","n/a","Jack London Revue","KovZpZAkttkA","97204","45.519514","-122.67639","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvd","Blues","KZazBEonSMnZfZ7vAAd","Blues","Jack London Revue","venue","KovZpZAkttkA","97204","-122.67639","45.519514","48"
"AN ODE TO FUN featuring Full Metal Jackson, Hyjinx, Confessions, Neptune's Chargers and Mike Sprigo","event","rZ7HnEZ1AaPxfA","2019-10-30","onsale","n/a","Dante's","KovZpZAEddeA","97209","42.35859995","-83.06075954","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvv","Alternative","KZazBEonSMnZfZ7vAeI","Electronic Pop","Dante's","venue","KovZpZAEddeA","97209","-83.06075954","42.35859995","67"
