"venue_name","venue_type","venue_id","venue_postalcode","venue_location_long","venue_location_lat","venue_upcoming_event_total","event_name","event_type","event_id","event_date_start_date","event_date_status","event_seatmap_url","event_place_name","event_place_id","event_place_postalcode","event_place_location_lat","event_place_location_long","event_classification_segment_id","event_classification_segment_name","event_classification_genre_id","event_classification_genre_name","event_classification_subgenre_id","event_classification_subgenre_name"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Jonas Brothers: Happiness Begins Tour","event","vvG1HZ4tMeV0cf","2019-10-13","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/93956s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Luke Combs: Beer Never Broke My Heart Tour","event","vvG1HZ4EJidK9l","2019-10-18","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/94979s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv6","Country","KZazBEonSMnZfZ7vAFa","Country"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Luke Combs: Beer Never Broke My Heart Tour","event","vvG1HZ4EJidK9l","2019-10-18","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/94979s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv6","Country","KZazBEonSMnZfZ7vAFa","Country"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Lana Del Rey: The Norman F-cking Rockwell Tour","event","vvG1HZ4RDenN0F","2019-10-03","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/95287s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Lana Del Rey: The Norman F-cking Rockwell Tour","event","vvG1HZ4RDenN0F","2019-10-03","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/95287s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAeA","Rock","KZazBEonSMnZfZ7v6F1","Pop"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Ozzy Osbourne: No More Tours 2","event","vvG1HZ44lkcgop","2020-07-15","rescheduled","https://s1.ticketm.net/tmimages/venue/maps/sea/90303s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvt","Metal","KZazBEonSMnZfZ7vaJ6","Nu-Metal"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","Ozzy Osbourne: No More Tours 2","event","vvG1HZ44lkcgop","2020-07-15","rescheduled","https://s1.ticketm.net/tmimages/venue/maps/sea/90303s.gif","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAvt","Metal","KZazBEonSMnZfZ7vaJ6","Nu-Metal"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","NF - The Search Tour","event","vvG1HZ4lM0S7Om","2019-10-08","onsale","n/a","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vaa1","French Rap"
"Moda Center","venue","KovZpa6MXe","97227","-122.66645813","45.53118896","82","NF - The Search Tour","event","vvG1HZ4lM0S7Om","2019-10-08","onsale","n/a","Moda Center","KovZpa6MXe","97227","45.53118896","-122.6664581","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vaa1","French Rap"
"Veterans Memorial Coliseum","venue","KovZpZAJ67kA","97208","-122.667442","45.533299","24","Tyler, The Creator with Blood Orange and GoldLink","event","vvG1HZ4lDgnIFV","2019-10-14","onsale","https://s1.ticketm.net/tmimages/venue/maps/sea/93999s.gif","Veterans Memorial Coliseum","KovZpZAJ67kA","97208","45.533299","-122.667442","KZFzniwnSyZfZ7v7nJ","Music","KnvZfZ7vAv1","Hip-Hop/Rap","KZazBEonSMnZfZ7vaa1","French Rap"
